"diff"	"lwr"	"upr"	"p adj"
"Tadpole.23.25-Tadpole.20.22"	0.498502255823708	0.20729653222855	0.789707979418866	3.31383418950004e-06
"Tadpole.25.27-Tadpole.20.22"	0.638355227260376	0.391611217033633	0.88509923748712	4.58855176077577e-13
"Tadpole.27.29-Tadpole.20.22"	0.629870982476455	0.3880377919553	0.87170417299761	3.57713858534225e-13
"Tadpole.29.31-Tadpole.20.22"	0.572498887767603	0.320307333406766	0.824690442128439	1.61454627445323e-10
"Tadpole.31.35-Tadpole.20.22"	0.611254277728931	0.359062723368094	0.863445832089767	8.48243697504358e-12
"Tadpole.36.39-Tadpole.20.22"	0.521280380137393	0.260818062779078	0.781742697495709	2.3116152769731e-08
"Metamorph.40.46-Tadpole.20.22"	0.592098524840273	0.349621303377084	0.834575746303463	5.99065241857488e-12
"Subadult-Tadpole.20.22"	0.511709177540582	0.251246860182267	0.772171494898897	4.44756707018712e-08
"Adult-Tadpole.20.22"	0.525292688699296	0.280206551738579	0.770378825660013	1.74264380703448e-09
"Tadpole.25.27-Tadpole.23.25"	0.139852971436669	-0.0407451517482508	0.320451094621588	0.315967914354926
"Tadpole.27.29-Tadpole.23.25"	0.131368726652747	-0.0424598312794333	0.305197284584927	0.354413261986806
"Tadpole.29.31-Tadpole.23.25"	0.0739966319438949	-0.113975854356826	0.261969118244616	0.982629125253975
"Tadpole.31.35-Tadpole.23.25"	0.112752021905223	-0.0752204643954987	0.300724508205944	0.719284780417256
"Tadpole.36.39-Tadpole.23.25"	0.0227781243136854	-0.176153256515996	0.221709505143367	0.999999959682163
"Metamorph.40.46-Tadpole.23.25"	0.0935962690165655	-0.0811271651405295	0.26831970317366	0.845599825651869
"Subadult-Tadpole.23.25"	0.0132069217168742	-0.185724459112808	0.212138302546556	0.99999999993431
"Adult-Tadpole.23.25"	0.0267904328755885	-0.151535925370935	0.205116791122112	0.999999079405577
"Tadpole.27.29-Tadpole.25.27"	-0.00848424478392173	-0.0878454486619927	0.0708769590941492	0.999999981889228
"Tadpole.29.31-Tadpole.25.27"	-0.0658563394927736	-0.172699630036777	0.0409869510512299	0.68176182519044
"Tadpole.31.35-Tadpole.25.27"	-0.0271009495314458	-0.133944240075449	0.0797423410125577	0.999718927153805
"Tadpole.36.39-Tadpole.25.27"	-0.117074847122983	-0.242196897166128	0.00804720292016214	0.0915686233262724
"Metamorph.40.46-Tadpole.25.27"	-0.046256702420103	-0.127559295071532	0.0350458902313258	0.784480069868094
"Subadult-Tadpole.25.27"	-0.126646049719794	-0.25176809976294	-0.00152399967664907	0.0443009005740629
"Adult-Tadpole.25.27"	-0.11306253856108	-0.201843860772809	-0.024281216349351	0.00215396473230378
"Tadpole.29.31-Tadpole.27.29"	-0.0573720947088519	-0.152325631710568	0.0375814422928647	0.709504840060324
"Tadpole.31.35-Tadpole.27.29"	-0.0186167047475241	-0.113570241749241	0.0763368322541925	0.999981911672854
"Tadpole.36.39-Tadpole.27.29"	-0.108590602339061	-0.223726230455928	0.00654502577780497	0.0856137038122753
"Metamorph.40.46-Tadpole.27.29"	-0.0377724576361813	-0.102663112022697	0.0271181967503339	0.757601824829235
"Subadult-Tadpole.27.29"	-0.118161804935873	-0.233297433052739	-0.00302617681900624	0.0384139377493724
"Adult-Tadpole.27.29"	-0.104578293777158	-0.178624283732921	-0.0305323038213959	0.000325983287971843
"Tadpole.31.35-Tadpole.29.31"	0.0387553899613278	-0.0801288488696879	0.157639628792343	0.996688148783951
"Tadpole.36.39-Tadpole.29.31"	-0.0512185076302095	-0.18676739517695	0.0843303799165312	0.987665092302065
"Metamorph.40.46-Tadpole.29.31"	0.0195996370726705	-0.0769823751242379	0.116181649269579	0.999973649477014
"Subadult-Tadpole.29.31"	-0.0607897102270207	-0.196338597773761	0.07475917731972	0.952085878431494
"Adult-Tadpole.29.31"	-0.0472061990683065	-0.150162970005542	0.0557505718689295	0.943779125456247
"Tadpole.36.39-Tadpole.31.35"	-0.0899738975915373	-0.225522785138278	0.0455749899552034	0.568539807271109
"Metamorph.40.46-Tadpole.31.35"	-0.0191557528886572	-0.115737765085566	0.0774262593082512	0.999979476592595
"Subadult-Tadpole.31.35"	-0.0995451001883485	-0.235093987735089	0.0360037873583922	0.401089239398681
"Adult-Tadpole.31.35"	-0.0859615890296342	-0.18891835996687	0.0169951819076017	0.208685464296053
"Metamorph.40.46-Tadpole.36.39"	0.0708181447028801	-0.0456641447351833	0.187300434140943	0.701016133716507
"Subadult-Tadpole.36.39"	-0.00957120259681121	-0.159949191637388	0.140806786443766	0.999999999960228
"Adult-Tadpole.36.39"	0.00401230856190304	-0.117807785653097	0.125832402776903	1
"Subadult-Metamorph.40.46"	-0.0803893472996913	-0.196871636737755	0.0360929421383721	0.50458002721069
"Adult-Metamorph.40.46"	-0.066805836140977	-0.14292889125174	0.00931721896978614	0.150120995381346
"Adult-Subadult"	0.0135835111587143	-0.108236583056286	0.135403605373714	0.999999970397513
