Type	Accession	Unique Name
Experiment	ERX5163138	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-144
Experiment	ERX5163139	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-145
Experiment	ERX5163140	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-146
Experiment	ERX5163141	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-147
Experiment	ERX5163142	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-148
Experiment	ERX5163143	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-149
Experiment	ERX5163144	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-150
Experiment	ERX5163145	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-151
Experiment	ERX5163146	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-152
Experiment	ERX5163147	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-153
Experiment	ERX5163148	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-154
Experiment	ERX5163149	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-155
Experiment	ERX5163150	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:844-156
Experiment	ERX5163151	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-157
Experiment	ERX5163152	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-158
Experiment	ERX5163153	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-159
Experiment	ERX5163154	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-160
Experiment	ERX5163155	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-161
Experiment	ERX5163156	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-162
Experiment	ERX5163157	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-163
Experiment	ERX5163158	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-164
Experiment	ERX5163159	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-165
Experiment	ERX5163160	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-166
Experiment	ERX5163161	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-167
Experiment	ERX5163162	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-168
Experiment	ERX5163163	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-169
Experiment	ERX5163164	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-170
Experiment	ERX5163165	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-171
Experiment	ERX5163166	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-172
Experiment	ERX5163167	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:845-173
