Type	Accession	Unique Name
Sample	ERS5446443 (SAMEA7689916) 	BTP_37
Sample	ERS5446444 (SAMEA7689917) 	BTP_38
Sample	ERS5446445 (SAMEA7689918) 	BTP_39
Sample	ERS5446446 (SAMEA7689919) 	BTP_40
Sample	ERS5446447 (SAMEA7689920) 	BTP_41
Sample	ERS5446448 (SAMEA7689921) 	BTP_42
Sample	ERS5446449 (SAMEA7689922) 	BTP_47
Sample	ERS5446450 (SAMEA7689923) 	BTP_48
Sample	ERS5446451 (SAMEA7689924) 	BTP_49
Sample	ERS5446452 (SAMEA7689925) 	BTP_50
Sample	ERS5446453 (SAMEA7689926) 	BTP_51
Sample	ERS5446454 (SAMEA7689927) 	BTP_52
Sample	ERS5446455 (SAMEA7689928) 	BTP_53
Sample	ERS5446456 (SAMEA7689929) 	BTP_54
Sample	ERS5446457 (SAMEA7689930) 	BTP_55
Sample	ERS5446458 (SAMEA7689931) 	BTP_56
Sample	ERS5446459 (SAMEA7689932) 	BTP_76
Sample	ERS5446460 (SAMEA7689933) 	BTP_77
Sample	ERS5446461 (SAMEA7689934) 	BTP_78
Sample	ERS5446462 (SAMEA7689935) 	BTP_79
Sample	ERS5446463 (SAMEA7689936) 	BTP_80
Sample	ERS5446464 (SAMEA7689937) 	BTP_81
Sample	ERS5446465 (SAMEA7689938) 	BTP_82
Sample	ERS5446466 (SAMEA7689939) 	BTP_83
Sample	ERS5446467 (SAMEA7689940) 	BTP_84
Sample	ERS5446468 (SAMEA7689941) 	BTP_85
Sample	ERS5446469 (SAMEA7689942) 	BTP_86
Sample	ERS5446470 (SAMEA7689943) 	BTP_87
Sample	ERS5446471 (SAMEA7689944) 	BTP_88
Sample	ERS5446472 (SAMEA7689945) 	BTP_89
Sample	ERS5446473 (SAMEA7689946) 	BTP_90
Sample	ERS5446474 (SAMEA7689947) 	BTP_91
Sample	ERS5446475 (SAMEA7689948) 	BTP_92
Sample	ERS5446476 (SAMEA7689949) 	BTP_93
Sample	ERS5446477 (SAMEA7689950) 	BTP_94
Sample	ERS5446478 (SAMEA7689951) 	BTP_95
Sample	ERS5446479 (SAMEA7689952) 	BTP_96
Sample	ERS5446480 (SAMEA7689953) 	BTP_97
Sample	ERS5446481 (SAMEA7689954) 	BTP_98
Sample	ERS5446482 (SAMEA7689955) 	BTP_99
Sample	ERS5446483 (SAMEA7689956) 	NTC7
Sample	ERS5446484 (SAMEA7689957) 	NTC4
Sample	ERS5446485 (SAMEA7689958) 	NTC11
