otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6	Enriched
82	OTU_26	10	1.23393475718589	0.0115061580084913	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
83	OTU_151	10	1.18491455025158	0.00136732019786511	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
84	OTU_745	10	1.15008472550198	0.001067986598461	0.000194250194250194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
85	OTU_41	10	1.01599698893506	0.0178317539368786	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
86	OTU_709	9	0.0470592015803832	0.000786848025736574	0.00181653042688465	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
87	OTU_1117	8	0.653595655784693	0.000518566465558321	8.83704489218805e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
88	OTU_310	7	1.03618223925166	0.000915356588460267	0.000279642058165548	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
89	OTU_86	7	1.01189283771125	0.0106216134420366	0.00494874513962531	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
90	OTU_84	7	0.437162202552316	0.0193007080242987	0.00227066303360581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
91	OTU_1885	7	0.297308254134585	0.000594050896029784	0.000194250194250194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
92	OTU_473	7	0.107272220674282	0.000133399776934033	0.000115580212667591	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
93	OTU_1769	7	0.00576971290360477	0.00017515343037871	0.000231160425335183	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
94	OTU_128	6	0.856973614541909	0.000673159027371862	9.71250971250971e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
95	OTU_118	6	0.555534319238965	0.000476580886377602	9.3214019388516e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
96	OTU_1615	6	0.208322614254276	0.000172007441278017	8.83704489218805e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
97	OTU_6233	6	0.0423490911101208	0.000371804625028976	0.000185495546046978	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
98	OTU_290	6	0.00179496384429975	0.000277628744532403	0.000185495546046978	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
99	OTU_1072	5	1.57019246378332	0.000833691150952232	9.71250971250971e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
100	OTU_338	5	0.543069024526045	0.000526428732185009	0.000301932367149758	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
101	OTU_1651	5	0.424178680921397	0.000353038942307344	0.000194250194250194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
102	OTU_894	5	0.174426703672953	0.000425989550780047	0.000176740897843761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
103	OTU_980	5	0.0695210923572504	0.000385525582403556	0.00053832902670112	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
104	OTU_1	4	4.40377811234095	0.0227417934960081	0.114911612024183	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
105	OTU_324	4	2.89875965323467	0.00124318083426258	0.0139274736977723	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
106	OTU_4055	4	1.58514277575491	0.00221173123444885	0.000353481795687522	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
107	OTU_1267	4	0.261814420504645	0.000301881741831344	0.000421499541848796	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
108	OTU_703	4	0.0161218230793474	0.000605133935134817	0.000582750582750583	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
109	OTU_956	4	0.00389396656539757	0.000363179742793217	0.000353481795687522	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
110	OTU_191	3	4.96827481917696	0.0010792851038707	0.00804214789185548	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
111	OTU_295	3	0.078828936913624	0.0019210336402605	0.000399057464274856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
112	OTU_1360	3	0.0312043458655477	0.000428746478176457	0.000322997416020672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
113	OTU_37	2	3.80170762657459	0.000503163063364317	0.0222403449004853	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
114	OTU_46	2	2.19547407818216	0.00405636810785117	0.0342735014985566	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
115	OTU_150	2	0.836610637995866	0.00988185490589915	0.000176740897843761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
116	OTU_995	2	0.220573417256921	0.00146480252679608	0.00144132887233827	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
117	OTU_1701	2	0.202163895322405	0.000145956892218331	0.000388500388500389	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
118	OTU_881	2	0.0785110142426788	0.0004346693378931	0.000582750582750583	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
119	OTU_446	2	0.0555887138176283	0.00177571877855679	0.00218870076065803	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
120	OTU_423	2	0.014178647042819	0.000853339978130475	0.00053248136315229	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
121	OTU_407	2	0.00230143131138966	0.000601527899884487	0.00149142431021626	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
122	OTU_2104	1	5.3707992553591	0.00010039325245593	0.000951368621280563	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
123	OTU_6740	1	4.69526958242877	0.00297051369243492	0.0565400719906153	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
124	OTU_171	1	4.08107793600825	0.000128160887228744	0.0133924871750721	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
125	OTU_25	1	3.84343970072046	0.000863995493059301	0.0121490737804505	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
