"otu.names" "W_stat" "W_f" "Adult_relAbund" "Eggs_relAbund" "Metamorph_relAbund" "Sediment_relAbund" "Soil_relAbund" "Subadult_relAbund" "Tadpole_relAbund" "Water_relAbund" "detected_wcrit" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "effSize_statcrit" "effSize_0.9" "effSize_0.8" "effSize_0.7" "effSize_0.6"
"43" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Massarinaceae.Stagonospora.Stagonospora_perfectaOTU_71" 43 2.48132029229077 0 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"53" "Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Penicillium.NAOTU_95" 43 2.32972259485035 0 0.000826446280991736 0 0 0 0.00209643605870021 0 0.000791139240506329 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"36" "Fungi.Basidiomycota.Microbotryomycetes.Sporidiobolales.Sporidiobolaceae.Rhodosporidiobolus.Rhodosporidiobolus_colostriOTU_6281" 43 1.5255907749811 0 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"38" "Fungi.Basidiomycota.Agaricomycetes.Agaricales.Inocybaceae.Inocybe.Inocybe_curvipesOTU_92" 42 7.31100654773593 0 0 0 0.00417536534446764 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
"42" "Fungi.Ascomycota.Dothideomycetes.Venturiales.Venturiaceae.Venturia.Venturia_inaequalisOTU_148" 42 5.59937454371655 0 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"47" "Fungi.Ascomycota.Dothideomycetes.Dothideales.Dothioraceae.Hormonema.Hormonema_macrosporumOTU_40" 42 4.18748480750774 0 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"52" "Fungi.Ascomycota.Saccharomycetes.Saccharomycetales.Saccharomycetaceae.Zygosaccharomyces.Zygosaccharomyces_rouxiiOTU_903" 42 0.998859527954491 0 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"20" "Fungi.Basidiomycota.Microbotryomycetes.Kriegeriales.Kriegeriaceae.Kriegeria.Kriegeria_eriophoriOTU_9" 41 2.14922403839093 0 0 0 0 0 0 0 0 TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"27" "Fungi.Basidiomycota.Agaricomycetes.Thelephorales.Thelephoraceae.Tomentella.unidentifiedOTU_19" 40 3.29376246562531 0 0 0 0 0 0 0 0 TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"35" "Fungi.Ascomycota.Dothideomycetes.Dothideales.Aureobasidiaceae.Aureobasidium.Aureobasidium_pullulansOTU_25" 40 2.73657058770816 0.00452837851558534 0 0.00149253731343284 0 0 0.00628930817610063 0 0 TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"11" "Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Aspergillus.Aspergillus_subversicolorOTU_161" 40 0.696515533915643 0 0 0 0 0 0 0 0 TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"17" "Fungi.Ascomycota.NA.NA.NA.NA.NAOTU_201" 38 0.922397253375565 0 0 0 0 0 0 0 0 FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"45" "Fungi.Ascomycota.Dothideomycetes.Capnodiales.Cladosporiaceae.Cladosporium.Cladosporium_delicatulumOTU_240" 37 0.221549739395415 0 0 0 0 0 0 0 0 FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"3" "Fungi.Ascomycota.Dothideomycetes.Capnodiales.Mycosphaerellaceae.Mycosphaerella.Mycosphaerella_tassianaOTU_1" 36 2.89747520303342 0.244735128093791 0.0846521193530396 0.0828516377649326 0.0178571428571429 0.32258064516129 0.46843853820598 0.155571403934869 0.0558201058201058 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"15" "Fungi.Ascomycota.Leotiomycetes.Thelebolales.Pseudeurotiaceae.Pseudeurotium.NAOTU_30" 35 3.01420012622738 0 0 0 0 0 0 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"25" "Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Penicillium.Penicillium_bialowiezenseOTU_171" 35 0.752684039529524 0 0 0 0 0 0 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"9" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.Phaeosphaeria_silenes.acaulisOTU_84" 34 1.70195120821416 0.00099403578528827 0 0 0 0 0 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"8" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.unidentified.unidentifiedOTU_11" 33 2.11128244730423 0.0223112128146453 0.00559936310561832 0 0.0011441647597254 0 0.0440251572327044 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"14" "Fungi.Ascomycota.Leotiomycetes.Thelebolales.Thelebolaceae.unidentified.unidentifiedOTU_13" 33 1.85695581309064 0 0 0 0 0 0 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"40" "Fungi.Basidiomycota.Tremellomycetes.Filobasidiales.Filobasidiaceae.Naganishia.Naganishia_albidaOTU_37" 33 0.935415702978745 0 0 0 0 0 0.00628930817610063 0 0 FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"16" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Pleosporaceae.Alternaria.NAOTU_21" 31 1.12987031340872 0.000691562932226833 0 0.00609756097560976 0 0 0 0 0 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"10" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.Phaeosphaeria_silenes.acaulisOTU_6105" 28 1.39973233069551 0 0 0 0 0 0 0 0 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
