otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
54	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Capnodiales..NA..NA..NA..OTU_6369	20	0.324927794711677	0.00426320556640166	0.00196651301023934	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
29	k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Eurotiales..f__Aspergillaceae..g__Penicillium..s__Penicillium_bialowiezense..OTU_171	19	2.23244212873681	0.00957821203712018	0.0133095802496612	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
43	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_214	19	2.12354544727695	0.00338664904862475	0.00312295195125034	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
44	k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Filobasidiaceae..g__Naganishia..s__Naganishia_albida..OTU_37	19	1.91147227860173	0.0202546381279881	0.0234777288277881	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
18	k__Fungi..p__Ascomycota..NA..NA..NA..NA..NA..OTU_201	19	0.288576347353292	0.00228797703108641	0.00477275091672927	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
52	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..NA..NA..NA..OTU_430	19	0.159497803590267	0.00183222577958149	0.00140567934279756	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
47	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Massarinaceae..g__Stagonospora..s__Stagonospora_perfecta..OTU_71	18	5.91588027841346	0.0249085008867451	0.00179682059922342	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
12	k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Eurotiales..f__Aspergillaceae..g__Aspergillus..s__Aspergillus_subversicolor..OTU_161	18	0.302396701060283	0.0155746207331089	0.023109197259836	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
34	k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Cystofilobasidiales..f__Cystofilobasidiales_fam_Incertae_sedis..g__Mrakiella..s__Mrakiella_aquatica..OTU_156	17	0.484038671342794	0.0126956894409404	0.0047102403935947	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
55	k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__Saccharomycetaceae..g__Zygosaccharomyces..s__Zygosaccharomyces_rouxii..OTU_903	17	0.18482794800913	0.0235827437369288	0.00327335029494666	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_353	16	1.65974293164605	0.00163516066365355	0.0027838207342634	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
51	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Neosetophoma..s__Neosetophoma_samararum..OTU_272	16	0.00496160408768744	0.00290379843797838	0.00124797732027847	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
10	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Phaeosphaeria..s__Phaeosphaeria_silenes.acaulis..OTU_84	15	3.75712159104166	0.0183281833503518	0.00296392750453742	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
42	k__Fungi..p__Rozellomycota..c__unidentified..o__unidentified..f__unidentified..g__unidentified..s__unidentified..OTU_6740	15	0.0587134378186109	0.00237078303071782	0.0146428162562492	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
31	k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Tomentella..s__unidentified..OTU_19	14	2.03752211288219	0.0150800165914286	0.0141367461065498	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
30	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Sclerostagonospora..s__Sclerostagonospora_phragmiticola..OTU_76	13	0.0898070170918373	0.00445464025454551	0.00850087951738559	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
48	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Sclerostagonospora..s__Sclerostagonospora_phragmiticola..OTU_12	12	0.408401079825087	0.0120422463005704	0.0216091687013408	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
14	k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Cystofilobasidiales..f__Mrakiaceae..g__Mrakia..s__Mrakia_frigida..OTU_72	12	0.254354029704346	0.00930224509223716	0.0114951965878079	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
5	k__Fungi..p__Basidiomycota..c__Microbotryomycetes..NA..NA..NA..NA..OTU_62	10	0.178895504927419	0.00149753449140161	0.0116661228170301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
16	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Pseudeurotium..NA..OTU_30	6	0.953884661856707	0.00420197792058215	0.00545031371277827	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
9	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__unidentified..s__unidentified..OTU_11	6	0.519568380949012	0.0238920911766437	0.0294555212551888	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
2	k__Fungi..p__Ascomycota..c__Orbiliomycetes..o__Orbiliales..f__Orbiliaceae..g__Dactylaria..s__Dactylaria_dimorphospora..OTU_36	6	0.499653194975746	0.00940238006167618	0.00880112939458008	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
15	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Thelebolaceae..g__unidentified..s__unidentified..OTU_13	5	0.406884732236637	0.0196671270698925	0.014176726978067	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
56	k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Eurotiales..f__Aspergillaceae..g__Penicillium..NA..OTU_95	5	0.183990210592406	0.015697237788249	0.0249132063959174	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
11	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Phaeosphaeria..s__Phaeosphaeria_silenes.acaulis..OTU_6105	4	0.490828350048766	0.0186003696866155	0.0107301082280841	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_2	2	1.42053063880421	0.183262787921389	0.0770637475770365	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
